"","name","meet_year","race_group","class_year","team","meet1","meet2","meet3","Minnesota Intercollegiate Championships"
"790","  Schnirring, Samantha",2017,"Women","JR","Carleton","23.19833333","24.12333333",24.055,"22.705"
"791","  Schoenfelder, Rebecca",2016,"Women","SO","St. Thomas","28.725","26.94666667",27.835833335,"26.38166667"
"792","  Schreiber, Kevin",2014,"Men","SO","St. Thomas","28.3","28.89666667",28.598333335,"27.78"
"793","  Schreiber, Kevin",2015,"Men","JR","St. Thomas","31.66666667","27.71666667",28.3,"28.66166667"
"794","  Schroeder, Alicia",2012,"Women","SO","Concordia Moorhead","28.85833333","29.27333333",29.06583333,"28.59333333"
"795","  Schuda, Helen",2017,"Women","SO","Carleton","23.545","23.69833333",23.52,"24.79666667"
"796","  Schugel, Jack",2015,"Men","FR","Gustavus Adolphus","29.49833333","31.695",30.596666665,"31.085"
"797","  Schugel, Jack",2016,"Men","SO","Gustavus Adolphus","34.13333333","30.47666667",30.78833333,"29.60666667"
"798","  Schultz, Brent",2012,"Men","SR","Bethel","26.89833333","27.99",27.444166665,"26.77833333"
"799","  Scott, Elizabeth",2012,"Women","SR","Saint Mary's","25.635","26.03666667",25.835833335,"25.82333333"
"800","  Sederquist, Ryan",2012,"Men","JR","Concordia Moorhead","27.80833333","27.16",27.484166665,"27.34666667"
"801","  Segura, Kelly ",2017,"Women","JR","Bethel","26.785","26.82",26.8025,"26.03666667"
"802","  Severson, Emily",2016,"Women","JR","Gustavus Adolphus","29.40333333","30.21666667",29.81,"30.11833333"
"803","  Sharer, Abby",2015,"Women","SO","Carleton","24.165","24.33333333",25.22666667,"24.63333333"
"804","  Shaw, Jonah",2015,"Men","SO","Carleton","28.8","29.25666667",29.028333335,"29.17333333"
"805","  Sheehan, Colin",2012,"Men","SR","Saint Mary's","28.2","28.73166667",28.465833335,"28.01333333"
"806","  Shepard, Aubrey",2016,"Women","FR","St. Benedict","31.45","28.62833333",30.039166665,"28.345"
"807","  Shepard, Aubrey",2017,"Women","SO","St. Benedict","26.56166667","26.82333333",26.6925,"26.56166667"
"808","  Sherwood-Caballero, Lorna",2014,"Women","FR","Macalester","25.145","25.03833333",25.091666665,"24.26333333"
"809","  Sherwood-Caballero, Lorna",2015,"Women","SO","Macalester","27.11833333","24.75333333",25.93583333,"24.645"
"810","  Sherwood-Caballero, Lorna",2016,"Women","JR","Macalester","24.095","26.43333333",24.59666667,"24.69666667"
"811","  Sherwood-Caballero, Lorna",2017,"Women","SR","Macalester","25.72","28.445",27.70833333,"24.56833333"
"812","  Shields , John Mark",2016,"Men","FR","Bethel","27.61","28.22",27.915,"27.505"
"813","  Shinn, Keaton",2016,"Men","FR","Bethel","28.60833333","29.82666667",29.2175,"28.18166667"
"814","  Shurson, Lauren",2015,"Women","SR","Gustavus Adolphus","23.25333333","23.57833333",23.41583333,"23.43166667"
